abe,freq,L
0,297997069000,0.0018829054
1,302882267000,0.0016802601
2,307767465000,0.0014495097
3,312652662000,0.0011735331
4,317537860000,0.0008675851
5,322423058000,0.000567654
6,327308256000,0.0003135727
7,332193454000,0.0001329441
8,337078652000,7.189864571991305e-05
9,341963850000,7.669922253188892e-05
10,346849047000,0.0001196744
11,351734245000,0.0001860549
12,356619443000,0.0002645324
13,361504641000,0.0003465218
14,366389839000,0.0004252324
15,371275037000,0.0004951853
16,376160234000,0.0005522501
17,381045432000,0.0005939189
18,385930630000,0.0006194925
19,390815828000,0.0006299959
20,395701026000,0.0006277905
21,400586224000,0.0006159587
22,405471422000,0.0005976201
23,410356619000,0.0005753795
24,415241817000,0.0005510669
25,420127015000,0.0005258246
26,425012213000,0.0005004466
27,429897411000,0.0004757823
28,434782609000,0.0004530073
29,439667807000,0.0004336486
30,444553004000,0.0004193732
31,449438202000,0.0004116252
32,454323400000,0.0004112163
33,459208598000,0.0004179629
34,464093796000,0.0004304752
35,468978994000,0.0004462405
36,473864191000,0.0004621174
37,478749389000,0.0004751594
38,483634587000,0.0004834241
39,488519785000,0.0004863694
40,493404983000,0.0004846866
41,498290181000,0.0004797509
42,503175379000,0.0004729995
43,508060576000,0.0004654723
44,512945774000,0.0004576148
45,517830972000,0.0004493285
46,522716170000,0.0004401977
47,527601368000,0.0004297773
48,532486566000,0.0004178222
49,537371764000,0.0004043844
50,542256961000,0.0003897682
51,547142159000,0.0003743864
52,552027357000,0.0003585736
53,556912555000,0.0003424095
54,561797753000,0.000325612
55,566682951000,0.0003075612
56,571568149000,0.0002875006
57,576453346000,0.0002648588
58,581338544000,0.0002395292
59,586223742000,0.0002119392
60,591108940000,0.0001828974
61,595994138000,0.000153379
62,600879336000,0.0001244128
63,605764533000,9.70958292061398e-05
64,610649731000,7.262567771172463e-05
65,615534929000,5.221955663974604e-05
66,620420127000,3.687302131501275e-05
67,625305325000,2.705282899717836e-05
68,630190523000,2.2520129605090638e-05
69,635075721000,2.242633205530072e-05
70,639960918000,2.5636838589832283e-05
71,644846116000,3.109385937516469e-05
72,649731314000,3.804956297491079e-05
73,654616512000,4.611971518724994e-05
74,659501710000,5.520003236280852e-05
75,664386908000,6.53198915775568e-05
76,669272106000,7.649427371619475e-05
77,674157303000,8.861827647242088e-05
78,679042501000,0.0001014294
79,683927699000,0.0001145482
80,688812897000,0.0001275809
81,693698095000,0.0001402371
82,698583293000,0.0001524083
83,703468490000,0.0001641667
84,708353688000,0.0001756807
85,713238886000,0.0001870801
86,718124084000,0.0001983251
87,723009282000,0.0002091495
88,727894480000,0.000219119
89,732779678000,0.0002277878
90,737664875000,0.0002348628
91,742550073000,0.0002402809
92,747435271000,0.0002441721
93,752320469000,0.0002467579
94,757205667000,0.0002482514
95,762090865000,0.0002487983
96,766976063000,0.0002484661
97,771861260000,0.0002472708
98,776746458000,0.0002452211
99,781631656000,0.0002423579
100,786516854000,0.0002387679
101,791402052000,0.0002345618
102,796287250000,0.000229833
103,801172447000,0.0002246223
104,806057645000,0.0002189066
105,810942843000,0.000212616
106,815828041000,0.0002056702
107,820713239000,0.0001980197
108,825598437000,0.0001896788
109,830483635000,0.0001807365
110,835368832000,0.0001713398
111,840254030000,0.0001616554
112,845139228000,0.0001518315
113,850024426000,0.0001419801
114,854909624000,0.0001321817
115,859794822000,0.0001225033
116,864680020000,0.0001130123
117,869565217000,0.0001037806
118,874450415000,9.488012895095823e-05
119,879335613000,8.637335894692411e-05
120,884220811000,7.830315390814263e-05
121,889106009000,7.068171508305731e-05
122,893991207000,6.348524113273622e-05
123,898876404000,5.666292818845133e-05
124,903761602000,5.016544630496428e-05
125,908646800000,4.3983475989772935e-05
126,913531998000,3.8178524021962154e-05
127,918417196000,3.288997211927063e-05
128,923302394000,2.831574640899717e-05
129,928187592000,2.467640499482774e-05
130,933072789000,2.217677614517378e-05
131,937957987000,2.0975583898299098e-05
132,942843185000,2.1169906321342147e-05
133,947728383000,2.2799102061538267e-05
134,952613581000,2.5870982976124544e-05
135,957498779000,3.0402488822904512e-05
136,962383977000,3.645399034972411e-05
137,967269174000,4.413148713673666e-05
138,972154372000,5.354370752815357e-05
139,977039570000,6.47270988494182e-05
140,981924768000,7.757507737790849e-05
141,986809966000,9.180811490371427e-05
142,991695164000,0.0001070083
143,996580362000,0.0001227097
144,1001465560000,0.0001385133
145,1006350760000,0.0001541798
146,1011235960000,0.0001696628
147,1016121150000,0.0001850619
148,1021006350000,0.0002005148
149,1025891550000,0.0002160673
150,1030776750000,0.000231582
151,1035661940000,0.0002467269
152,1040547140000,0.0002610532
153,1045432340000,0.000274129
154,1050317540000,0.0002856621
155,1055202740000,0.0002955611
156,1060087930000,0.0003039057
157,1064973130000,0.0003108455
158,1069858330000,0.0003164675
159,1074743530000,0.0003206922
160,1079628720000,0.0003232536
161,1084513920000,0.0003237882
162,1089399120000,0.000321999
163,1094284320000,0.0003178018
164,1099169520000,0.0003113631
165,1104054710000,0.0003029986
166,1108939910000,0.0002929955
167,1113825110000,0.0002814698
168,1118710310000,0.0002683482
169,1123595510000,0.0002534876
170,1128480700000,0.0002368737
171,1133365900000,0.0002187928
172,1138251100000,0.0001998719
173,1143136300000,0.0001809447
174,1148021490000,0.0001627912
175,1152906690000,0.0001458796
176,1157791890000,0.0001302335
177,1162677090000,0.0001154761
178,1167562290000,0.0001010317
179,1172447480000,8.640461155409184e-05
180,1177332680000,7.143392619769923e-05
181,1182217880000,5.642839382950576e-05
182,1187103080000,4.212059683051531e-05
183,1191988280000,2.9446916586396838e-05
184,1196873470000,1.9247473198864154e-05
185,1201758670000,1.203255397199785e-05
186,1206643870000,7.925980248119606e-06
187,1211529070000,6.791304812987457e-06
188,1216414260000,8.44850429729948e-06
189,1221299460000,1.284629249905059e-05
190,1226184660000,2.0088885815359853e-05
191,1231069860000,3.030047862477656e-05
192,1235955060000,4.341441731114338e-05
193,1240840250000,5.903071101878854e-05
194,1245725450000,7.644739315644824e-05
195,1250610650000,9.485867640717893e-05
196,1255495850000,0.000113615
197,1260381050000,0.0001324257
198,1265266240000,0.0001514295
199,1270151440000,0.0001710971
200,1275036640000,0.0001919869
201,1279921840000,0.0002144156
202,1284807030000,0.0002381728
203,1289692230000,0.0002624479
204,1294577430000,0.0002860284
205,1299462630000,0.0003076795
206,1304347830000,0.0003264652
207,1309233020000,0.0003418606
208,1314118220000,0.0003536563
209,1319003420000,0.0003617777
210,1323888620000,0.0003661287
211,1328773820000,0.0003665209
212,1333659010000,0.0003627155
213,1338544210000,0.0003545765
214,1343429410000,0.000342246
215,1348314610000,0.0003261896
216,1353199800000,0.0003070313
217,1358085000000,0.000285287
218,1362970200000,0.0002612162
219,1367855400000,0.0002349002
220,1372740600000,0.0002065017
221,1377625790000,0.0001765505
222,1382510990000,0.0001461155
