freq,ref_ind_s,ref_ind_f,bf,delta_N_s,delta_N_f,bf_err
+2.97997069e+011,3.09E+000,3.05E+000,0.04391259,5.08E-004,2.90E-004,0.0005845349
+3.02882267e+011,3.09E+000,3.05E+000,0.04336297,4.73E-004,2.91E-004,0.0005548594
+3.07767465e+011,3.09E+000,3.05E+000,0.04292196,4.20E-004,2.92E-004,0.0005116616
+3.12652662e+011,3.09E+000,3.05E+000,0.04260577,4.63E-004,2.77E-004,0.0005394593
+3.17537860e+011,3.09E+000,3.05E+000,0.04241217,3.82E-004,3.25E-004,0.000501212
+3.22423058e+011,3.09E+000,3.05E+000,0.042325,3.95E-004,2.62E-004,0.0004737515
+3.27308256e+011,3.09E+000,3.05E+000,0.04232066,3.74E-004,2.98E-004,0.0004777912
+3.32193454e+011,3.09E+000,3.05E+000,0.04237382,3.99E-004,2.64E-004,0.0004786314
+3.37078652e+011,3.09E+000,3.05E+000,0.04246184,4.45E-004,2.93E-004,0.0005331734
+3.41963850e+011,3.09E+000,3.05E+000,0.04256745,4.28E-004,3.32E-004,0.0005415575
+3.46849047e+011,3.09E+000,3.05E+000,0.04268013,4.09E-004,2.69E-004,0.0004897311
+3.51734245e+011,3.09E+000,3.05E+000,0.04279607,4.29E-004,3.30E-004,0.000541474
+3.56619443e+011,3.09E+000,3.05E+000,0.04291673,5.04E-004,2.80E-004,0.000576734
+3.61504641e+011,3.09E+000,3.05E+000,0.04304611,4.09E-004,2.48E-004,0.0004784304
+3.66389839e+011,3.09E+000,3.05E+000,0.04318777,3.93E-004,2.78E-004,0.000481669
+3.71275037e+011,3.09E+000,3.05E+000,0.04334252,4.48E-004,2.46E-004,0.0005111281
+3.76160234e+011,3.09E+000,3.05E+000,0.04350753,3.69E-004,2.22E-004,0.0004307749
+3.81045432e+011,3.09E+000,3.05E+000,0.04367638,4.85E-004,2.52E-004,0.0005465525
+3.85930630e+011,3.09E+000,3.05E+000,0.04384005,3.70E-004,1.87E-004,0.0004142908
+3.90815828e+011,3.09E+000,3.05E+000,0.04398813,3.90E-004,2.01E-004,0.0004388392
+3.95701026e+011,3.09E+000,3.05E+000,0.04411046,5.50E-004,1.99E-004,0.0005853975
+4.00586224e+011,3.09E+000,3.05E+000,0.04419881,4.38E-004,2.06E-004,0.0004837231
+4.05471422e+011,3.09E+000,3.05E+000,0.04424842,5.32E-004,2.38E-004,0.0005824377
+4.10356619e+011,3.09E+000,3.05E+000,0.04425893,4.64E-004,2.32E-004,0.0005191736
+4.15241817e+011,3.09E+000,3.05E+000,0.0442343,4.40E-004,2.30E-004,0.0004961216
+4.20127015e+011,3.09E+000,3.05E+000,0.04418147,5.25E-004,2.38E-004,0.0005769296
