freq,ref_ind,kappa,alpha,epsilon_r,epsilon_i,ref_ind_S,kappa_S,alpha_S,alpha_max,epsilonS_r,epsilonS_i,delta_N,delta_A,H_measure_r,H_measure_i,H_calc_r,H_calc_i,T_measure,T_calc
+2.97997069e+011,+3.03882418e+000,-3.85477156e-003,-4.81170782e-001,+9.23443756e+000,-2.34279461e-002,+3.03907161e+000,-3.66512271e-003,-4.57814636e-001,+4.42610456e+001,+9.23594280e+000,-2.22771407e-002,+6.32605452e-004,+5.57217832e-002,+7.46847873e-001,-2.89258910e-001,+7.46847873e-001,-2.89258910e-001,+8.00907275e-001,+8.00907275e-001
+3.02882267e+011,+3.03919532e+000,-3.57029828e-003,-4.52967411e-001,+9.23669544e+000,-2.17016677e-002,+3.03925771e+000,-3.39128151e-003,-4.30553228e-001,+4.43024618e+001,+9.23707595e+000,-2.06139570e-002,+5.93262361e-004,+6.40754239e-002,+4.30495356e-001,-6.71310366e-001,+4.30495356e-001,-6.71310366e-001,+7.97485962e-001,+7.97485962e-001
+3.07767465e+011,+3.03951146e+000,-3.25880687e-003,-4.20116694e-001,+9.23861928e+000,-1.98103617e-002,+3.03941695e+000,-3.10697551e-003,-4.00820291e-001,+4.43501264e+001,+9.23804576e+000,-1.88867881e-002,+5.53402508e-004,+7.04465171e-002,-4.75885887e-002,-7.92106377e-001,-4.75885887e-002,-7.92106376e-001,+7.93534615e-001,+7.93534615e-001
+3.12652662e+011,+3.03974640e+000,-2.92367237e-003,-3.82894778e-001,+9.24004965e+000,-1.77744451e-002,+3.03954005e+000,-2.81413401e-003,-3.68804377e-001,+4.44020112e+001,+9.23879579e+000,-1.71073460e-002,+5.56259828e-004,+6.94941151e-002,-5.01577195e-001,-6.09175560e-001,-5.01577195e-001,-6.09175560e-001,+7.89097297e-001,+7.89097297e-001
+3.17537860e+011,+3.03988638e+000,-2.57450750e-003,-3.42435108e-001,+9.24090258e+000,-1.56524206e-002,+3.03962284e+000,-2.51784895e-003,-3.35130803e-001,+4.44548242e+001,+9.23930069e+000,-1.53066224e-002,+6.30583260e-004,+5.49557482e-002,-7.58976392e-001,-1.97758079e-001,-7.58976392e-001,-1.97758079e-001,+7.84317169e-001,+7.84317168e-001
+3.22423058e+011,+3.03993350e+000,-2.22493274e-003,-3.00491083e-001,+9.24119071e+000,-1.35272951e-002,+3.03966648e+000,-2.22456804e-003,-3.00649819e-001,+4.45054246e+001,+9.23956738e+000,-1.35238898e-002,+5.65179625e-004,+6.41827814e-002,-7.26549720e-001,+2.82130347e-001,-7.26549720e-001,+2.82130347e-001,+7.79404919e-001,+7.79404920e-001
+3.27308256e+011,+3.03990421e+000,-1.88953294e-003,-2.59059806e-001,+9.24101402e+000,-1.14879982e-002,+3.03967625e+000,-1.94037937e-003,-2.66215151e-001,+4.45521472e+001,+9.23962792e+000,-1.17962501e-002,+5.46145341e-004,+6.62125790e-002,-4.22325592e-001,+6.49334206e-001,-4.22325592e-001,+6.49334206e-001,+7.74592678e-001,+7.74592678e-001
+3.32193454e+011,+3.03982418e+000,-1.58080172e-003,-2.19966770e-001,+9.24052852e+000,-9.61071855e-003,+3.03965943e+000,-1.66978217e-003,-2.32509151e-001,+4.45957618e+001,+9.23952669e+000,-1.01511383e-002,+5.50679169e-004,+6.68902172e-002,+3.54297784e-002,+7.69270520e-001,+3.54297783e-002,+7.69270520e-001,+7.70085971e-001,+7.70085970e-001
+3.37078652e+011,+3.03972139e+000,-1.30640041e-003,-1.84457435e-001,+9.23990443e+000,-7.94218655e-003,+3.03962306e+000,-1.41522851e-003,-1.99961773e-001,+4.46398924e+001,+9.23930632e+000,-8.60352241e-003,+5.45113400e-004,+7.16604348e-002,+4.74592642e-001,+6.01287670e-001,+4.74592642e-001,+6.01287670e-001,+7.66018953e-001,+7.66018953e-001
+3.41963850e+011,+3.03961931e+000,-1.06727634e-003,-1.52878245e-001,+9.23928440e+000,-6.48822753e-003,+3.03957208e+000,-1.17748672e-003,-1.68781707e-001,+4.46906945e+001,+9.23899704e+000,-7.15811151e-003,+6.71224528e-004,+5.28833550e-002,+7.32622804e-001,+2.11069477e-001,+7.32622804e-001,+2.11069477e-001,+7.62421470e-001,+7.62421470e-001
