freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.83284114e+010,+1.49306546e+000,-1.00000000e-002,-3.28101282e-001,+2.22914446e+000,-2.98613092e-002,+1.49807301e+000,-1.00000000e-002,-3.28328422e-001,+6.36502944e+001,+2.24412273e+000,-2.99614601e-002,+5.22758582e-003,+1.47775049e+000,-4.00549683e-002,-1.02952641e+000,-3.32327548e-002,-9.54858832e-001,+1.03030530e+000,+9.55436971e-001,+2.00000000e-003,+1.90000000e+003,+1.00000000e+000,+1.00000000e+000,+0.00000000e+000,+2.00000000e+000,+4.50083024e-002,+1.47624444e-002,+1.34746894e-001
+8.32239371e+010,+1.49860706e+000,-1.00000000e-002,-3.48607612e-001,+2.24572311e+000,-2.99721411e-002,+1.49823462e+000,-1.00000000e-002,-3.48848948e-001,+6.57052831e+001,+2.24460699e+000,-2.99646925e-002,+4.82151229e-003,+8.36883963e-001,-1.34800104e-001,-1.00414266e+000,-1.29627350e-001,-9.62604160e-001,+1.01315031e+000,+9.71292963e-001,                ,+2.00000000e+003,+5.66437913e-001,+5.60749268e-001,+3.00000000e+000,                ,+2.39898663e-002,+1.39677160e-002,+7.17884664e-002
+8.81194628e+010,+1.49839624e+000,-1.00000000e-002,-3.69113943e-001,+2.24509130e+000,-2.99679248e-002,+1.49839624e+000,-1.00000000e-002,-3.69369475e-001,+6.73804791e+001,+2.24509130e+000,-2.99679248e-002,+1.31867059e-003,+1.26887538e-001,-2.25955899e-001,-9.77026893e-001,-2.24986222e-001,-9.71547812e-001,+1.00281485e+000,+9.97258217e-001,                ,+2.10000000e+003,+6.09973210e-001,+6.24952012e-001,+2.80000000e+001,                ,+3.43524699e-003,+3.88307719e-003,+1.02683490e-002
+9.30149885e+010,+1.49445258e+000,-3.45004732e-003,-1.34420838e-001,+2.23337660e+000,-1.03118642e-002,+1.49445258e+000,-3.45004732e-003,-1.34513895e-001,+6.86961215e+001,+2.23337660e+000,-1.03118642e-002,+4.65683327e-004,+1.81670472e-002,-3.16975111e-001,-9.45768257e-001,-3.16975111e-001,-9.45768257e-001,+9.97472214e-001,+9.97472214e-001,                ,                ,                ,                ,                ,                ,+4.65953145e-004,+1.38866817e-003,+1.38947650e-003
+9.79105142e+010,+1.48938914e+000,+6.79270123e-004,+2.78586748e-002,+2.21827956e+000,+2.02339509e-003,+1.48938914e+000,+6.79270123e-004,+2.78779609e-002,+6.97028354e+001,+2.21827956e+000,+2.02339509e-003,+4.01092191e-004,+1.64697706e-002,-4.08466407e-001,-9.06906950e-001,-4.08466407e-001,-9.06906950e-001,+9.94648190e-001,+9.94648190e-001,                ,                ,                ,                ,                ,                ,+4.01299906e-004,+1.19530989e-003,+1.19592834e-003
+1.02806040e+011,+1.48489138e+000,+1.57230447e-003,+6.77086087e-002,+2.20489992e+000,+4.66940271e-003,+1.48489138e+000,+1.57230447e-003,+6.77554824e-002,+7.04691779e+001,+2.20489992e+000,+4.66940271e-003,+3.54782638e-004,+1.52958043e-002,-4.98213620e-001,-8.57355135e-001,-4.98213620e-001,-8.57355135e-001,+9.91602057e-001,+9.91602057e-001,                ,                ,                ,                ,                ,                ,+3.54947832e-004,+1.05474353e-003,+1.05523360e-003
+1.07701566e+011,+1.48184090e+000,+3.12446316e-004,+1.40956801e-002,+2.19585235e+000,+9.25991460e-004,+1.48184090e+000,+3.12446316e-004,+1.41054383e-002,+7.10685593e+001,+2.19585235e+000,+9.25991460e-004,+3.20345452e-004,+1.44681446e-002,-5.81816036e-001,-7.96082053e-001,-5.81816036e-001,-7.96082053e-001,+9.86030697e-001,+9.86030697e-001,                ,                ,                ,                ,                ,                ,+3.20480540e-004,+9.49602250e-004,+9.50002525e-004
+1.12597091e+011,+1.48058387e+000,-1.99604963e-003,-9.41428011e-002,+2.19212462e+000,-5.91063778e-003,+1.48058387e+000,-1.99604963e-003,-9.42079748e-002,+7.15618634e+001,+2.19212462e+000,-5.91063778e-003,+2.93576900e-004,+1.38613434e-002,-6.54691467e-001,-7.25429250e-001,-6.54691467e-001,-7.25429250e-001,+9.77173737e-001,+9.77173737e-001,                ,                ,                ,                ,                ,                ,+2.93689885e-004,+8.68158009e-004,+8.68493029e-004
+1.17492617e+011,+1.48108734e+000,-4.33255875e-003,-2.13227712e-001,+2.19360095e+000,-1.28337959e-002,+1.48108734e+000,-4.33255875e-003,-2.13375327e-001,+7.19796693e+001,+2.19360095e+000,-1.28337959e-002,+2.71903864e-004,+1.33958029e-002,-7.14949563e-001,-6.50499847e-001,-7.14949563e-001,-6.50499847e-001,+9.66593466e-001,+9.66593466e-001,                ,                ,                ,                ,                ,                ,+2.72000067e-004,+8.03069832e-004,+8.03355634e-004
+1.22388143e+011,+1.48297317e+000,-5.80920799e-003,-2.97813842e-001,+2.19917568e+000,-1.72297992e-002,+1.48297317e+000,-5.80920799e-003,-2.98020014e-001,+7.23149072e+001,+2.19917568e+000,-1.72297992e-002,+2.54035537e-004,+1.30366232e-002,-7.64896492e-001,-5.76234837e-001,-7.64896492e-001,-5.76234837e-001,+9.57660290e-001,+9.57660290e-001,                ,                ,                ,                ,                ,                ,+2.54118689e-004,+7.50503315e-004,+7.50750906e-004
