freq            ,ref_ind         ,kappa           ,alpha           ,epsilon_r       ,epsilon_i       ,ref_ind_S       ,kappa_S         ,alpha_S         ,alpha_max       ,epsilonS_r      ,epsilonS_i      ,delta_N         ,delta_A         ,H_measure_r     ,H_measure_i     ,H_calc_r        ,H_calc_i        ,T_measure       ,T_calc          ,thickness       ,allThicknesses  ,QSnValue        ,QSkValue        ,Num_Thickness   ,N_std           ,delta_K         ,delta_Eps_1     ,delta_Eps_2     
+7.34328857e+010,+1.54811375e+000,-2.65943574e-003,-8.18029010e-002,+2.39664912e+000,-8.23421810e-003,+1.54811375e+000,-2.65943574e-003,-8.18595320e-002,+1.31772363e+001,+2.39664912e+000,-8.23421810e-003,+4.86594630e-004,+1.49787221e-002,+9.13904682e-001,-4.79110261e-001,+9.13904682e-001,-4.79110261e-001,+1.03187616e+000,+1.03187616e+000,                ,+7.95000000e+003,+9.49164291e-001,+6.21594938e-001,+7.00000000e+000,                ,+4.86625660e-004,+1.50401938e-003,+1.50411562e-003
+7.83284114e+010,+1.54281931e+000,+6.81579342e-004,+2.23627056e-002,+2.38029096e+000,+2.10310754e-003,+1.54281931e+000,+6.81579342e-004,+2.23781870e-002,+1.37966268e+001,+2.38029096e+000,+2.10310754e-003,+3.73214608e-004,+1.22543773e-002,+5.95437035e-001,-6.84682463e-001,+5.95437035e-001,-6.84682463e-001,+9.07378277e-001,+9.07378277e-001,                ,+7.96000000e+003,+9.40478339e-001,+5.78322408e-001,+0.00000000e+000,                ,+3.73235350e-004,+1.15211419e-003,+1.15217816e-003
+8.32239371e+010,+1.54077834e+000,-2.73814903e-004,-9.54539596e-003,+2.37399780e+000,-8.43776141e-004,+1.54077834e+000,-2.73814903e-004,-9.55200410e-003,+1.42050439e+001,+2.37399780e+000,-8.43776141e-004,+2.89708987e-004,+1.01069631e-002,+3.37773153e-001,-9.22731658e-001,+3.37773153e-001,-9.22731658e-001,+9.82611019e-001,+9.82611019e-001,                ,+7.97000000e+003,+9.32304244e-001,+5.45598987e-001,+0.00000000e+000,                ,+2.89723193e-004,+8.92596000e-004,+8.92639783e-004
+8.81194628e+010,+1.54162325e+000,-7.62565371e-004,-2.81473511e-002,+2.37660165e+000,-2.35117701e-003,+1.54162325e+000,-7.62565371e-004,-2.81668371e-002,+1.50933019e+001,+2.37660165e+000,-2.35117701e-003,+1.93050202e-004,+7.13099798e-003,-1.82744439e-001,-9.47001785e-001,-1.82744439e-001,-9.47001785e-001,+9.64472867e-001,+9.64472867e-001,                ,+7.98000000e+003,+9.24647623e-001,+5.37370752e-001,+0.00000000e+000,                ,+1.93058671e-004,+5.94926920e-004,+5.94953042e-004
+9.30149885e+010,+1.54304516e+000,-6.84811198e-004,-2.66816326e-002,+2.38098791e+000,-2.11338922e-003,+1.54304516e+000,-6.84811198e-004,-2.67001039e-002,+1.58024633e+001,+2.38098791e+000,-2.11338922e-003,+1.38976237e-004,+5.41875819e-003,-5.09387834e-001,-7.90488752e-001,-5.09387834e-001,-7.90488752e-001,+9.40398018e-001,+9.40398018e-001,                ,+7.99000000e+003,+9.17512859e-001,+5.29957972e-001,+0.00000000e+000,                ,+1.38981717e-004,+4.28702867e-004,+4.28719788e-004
+9.79105142e+010,+1.53958991e+000,-5.17132750e-003,-2.12089898e-001,+2.37031035e+000,-1.59234473e-002,+1.53958991e+000,-5.17132750e-003,-2.12236725e-001,+1.37288462e+001,+2.37031035e+000,-1.59234473e-002,+2.87496007e-004,+1.17995567e-002,-9.30764597e-001,-5.78224593e-001,-9.30764598e-001,-5.78224593e-001,+1.09574925e+000,+1.09574925e+000,                ,+8.00000000e+003,+9.10903409e-001,+5.23355786e-001,+0.00000000e+000,                ,+2.87506190e-004,+8.82278326e-004,+8.82309785e-004
+1.02806040e+011,+1.54401004e+000,-8.09640491e-004,-3.48657859e-002,+2.38396636e+000,-2.50018610e-003,+1.54401004e+000,-8.09640491e-004,-3.48899230e-002,+1.61299979e+001,+2.38396636e+000,-2.50018610e-003,+1.10971004e-004,+4.78224022e-003,-9.24148491e-001,-4.11176538e-002,-9.24148491e-001,-4.11176538e-002,+9.25062752e-001,+9.25062752e-001,                ,+8.01000000e+003,+9.04821312e-001,+5.17554538e-001,+0.00000000e+000,                ,+1.10974602e-004,+3.42500991e-004,+3.42512107e-004
+1.07701566e+011,+1.54272390e+000,-1.19721472e-004,-5.40110567e-003,+2.37999703e+000,-3.69394353e-004,+1.54272390e+000,-1.19721472e-004,-5.40484477e-003,+1.59894888e+001,+2.37999703e+000,-3.69394353e-004,+1.09468804e-004,+4.94213147e-003,-9.31347724e-001,+3.24986121e-001,-9.31347724e-001,+3.24986121e-001,+9.86420074e-001,+9.86420074e-001,                ,+8.02000000e+003,+8.99267421e-001,+5.39600204e-001,+0.00000000e+000,                ,+1.09472016e-004,+3.37734070e-004,+3.37743981e-004
+1.12597091e+011,+1.54455038e+000,+1.09422741e-003,+5.16087538e-002,+2.38563467e+000,+3.38017873e-003,+1.54455038e+000,+1.09422741e-003,+5.16444818e-002,+1.53397508e+001,+2.38563467e+000,+3.38017873e-003,+1.38943046e-004,+6.55790110e-003,-5.80679888e-001,+7.20908258e-001,-5.80679888e-001,+7.20908258e-001,+9.25687771e-001,+9.25687771e-001,                ,+8.03000000e+003,+8.94241584e-001,+5.74897947e-001,+0.00000000e+000,                ,+1.38946794e-004,+4.29513146e-004,+4.29524716e-004
+1.17492617e+011,+1.54206839e+000,+2.58757967e-003,+1.27348231e-001,+2.37796823e+000,+7.98044965e-003,+1.54206839e+000,+2.58757967e-003,+1.27436393e-001,+1.55444812e+001,+2.37796823e+000,+7.98044965e-003,+1.24669739e-004,+6.14004418e-003,-3.11926101e-001,+8.32624546e-001,-3.11926101e-001,+8.32624546e-001,+8.89135269e-001,+8.89135269e-001,                ,+8.04000000e+003,+8.89742184e-001,+6.19380211e-001,+0.00000000e+000,                ,+1.24672813e-004,+3.85143731e-004,+3.85153194e-004
