frequency/GHz;epsilon_r';epsilon_r'';n;alpha
75;2.17856517;0;1.4759963313;0
75.025;2.1771606611;0;1.4755204713;0
75.05;2.1758226428;0;1.475066996;0
75.075;2.1745508141;0;1.4746358242;0
75.1;2.1733448065;0;1.4742268504;0
75.125;2.1722041852;0;1.4738399456;0
75.15;2.1711284494;0;1.4734749572;0
75.175;2.1701170332;0;1.4731317094;0
75.2;2.1691693071;0;1.4728100037;0
75.225;2.1682845781;0;1.472509619;0
75.25;2.167462092;0;1.4722303121;0
75.275;2.1667010338;0;1.4719718183;0
75.3;2.1660005294;0;1.4717338514;0
75.325;2.1653596475;0;1.4715161051;0
75.35;2.1647774005;0;1.4713182526;0
75.375;2.1642527466;0;1.471139948;0
75.4;2.1637845916;0;1.4709808264;0
75.425;2.1633717904;0;1.4708405048;0
75.45;2.1630131495;0;1.4707185827;0
75.475;2.1627074283;0;1.470614643;0
75.5;2.1624533418;0;1.4705282526;0
75.525;2.1622495625;0;1.4704589632;0
75.55;2.1620947224;0;1.470406312;0
75.575;2.1619874156;0;1.4703698227;0
75.6;2.1619262005;0;1.4703490064;0
75.625;2.1619096021;0;1.470343362;0
75.65;2.1619361143;0;1.4703523776;0
75.675;2.1620042028;0;1.4703755312;0
75.7;2.1621123068;0;1.4704122914;0
75.725;2.1622588423;0;1.4704621186;0
75.75;2.162442204;0;1.4705244656;0
75.775;2.1626607682;0;1.4705987788;0
75.8;2.1629128952;0;1.4706844989;0
75.825;2.1631969319;0;1.4707810618;0
75.85;2.1635112141;0;1.4708878999;0
75.875;2.1638540696;0;1.4710044424;0
75.9;2.1642238202;0;1.4711301167;0
75.925;2.1646187844;0;1.4712643489;0
75.95;2.1650372801;0;1.4714065652;0
75.975;2.1654776268;0;1.4715561922;0
76;2.1659381483;0;1.4717126582;0
76.025;2.1664171748;0;1.4718753938;0
76.05;2.1669130459;0;1.4720438329;0
76.075;2.1674241123;0;1.4722174134;0
76.1;2.1679487385;0;1.4723955781;0
76.125;2.168485305;0;1.4725777755;0
76.15;2.1690322105;0;1.4727634605;0
76.175;2.1695878742;0;1.472952095;0
76.2;2.1701507378;0;1.4731431491;0
76.225;2.1707192675;0;1.4733361013;0
76.25;2.1712919563;0;1.4735304396;0
76.275;2.1718673256;0;1.4737256616;0
76.3;2.1724439273;0;1.4739212758;0
76.325;2.1730203456;0;1.4741168019;0
76.35;2.1735951987;0;1.4743117712;0
76.375;2.1741671405;0;1.4745057275;0
76.4;2.1747348622;0;1.4746982275;0
76.425;2.1752970938;0;1.4748888412;0
76.45;2.1758526055;0;1.4750771524;0
76.475;2.1764002093;0;1.4752627594;0
76.5;2.1769387601;0;1.4754452752;0
76.525;2.177467157;0;1.4756243279;0
76.55;2.1779843442;0;1.475799561;0
76.575;2.1784893123;0;1.475970634;0
76.6;2.1789810995;0;1.4761372225;0
76.625;2.1794587918;0;1.4762990184;0
76.65;2.1799215242;0;1.4764557305;0
76.675;2.1803684817;0;1.4766070844;0
76.7;2.1807988992;0;1.4767528227;0
76.725;2.1812120627;0;1.4768927052;0
76.75;2.1816073092;0;1.4770265093;0
76.775;2.1819840275;0;1.4771540297;0
76.8;2.1823416582;0;1.4772750787;0
76.825;2.1826796939;0;1.4773894862;0
76.85;2.1829976793;0;1.4774970996;0
76.875;2.1833294166;0.0004511732;1.4776093665;0.0049161752
76.9;2.1836457113;0.0009749308;1.4777164207;0.010625947
76.925;2.1839412617;0.0015054675;1.4778164707;0.0164125854
76.95;2.1842157693;0.0020421605;1.4779094176;0.0222694401
76.975;2.1844689859;0.0025843687;1.4779951794;0.0281896556
77;2.1847007132;0.0031314343;1.4780736908;0.0341661898
77.025;2.1849108026;0.0036826846;1.478144903;0.0401918347
77.05;2.1850991546;0.0042374342;1.4782087839;0.0462592353
77.075;2.185265718;0.004794987;1.4782653173;0.0523609114
77.1;2.1854104898;0.0053546379;1.478314503;0.0584892782
77.125;2.1855335138;0.005915675;1.4783563565;0.0646366683
77.15;2.1856348803;0.0064773818;1.4783909089;0.0707953534
77.175;2.1857147248;0.0070390391;1.4784182061;0.0769575671
77.2;2.1857732273;0.0075999276;1.478438309;0.0831155269
77.225;2.1858106109;0.0081593293;1.4784512928;0.0892614568
77.25;2.1858271409;0.0087165302;1.4784572468;0.0953876104
77.275;2.1858231235;0.0092708221;1.4784562738;0.1014862929
77.3;2.1857989043;0.0098215049;1.4784484898;0.1075498841
77.325;2.1857548671;0.0103678886;1.4784340235;0.1135708602
77.35;2.1856914323;0.0109092953;1.4784130157;0.1195418163
77.375;2.1856090554;0.0114450611;1.478385619;0.1254554878
