,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,200244200000.0,0.53642415,0.047545114,0.613490767,0.0363789426,0.677672086,0.0469671236
1,202686203000.0,-0.84900998,0.141453968,-0.708197702,0.0491152978,0.585447377,0.0607655768
2,205128205000.0,1.59382397,0.0646999971,1.54321273,0.0618239619,0.302537299,0.0645021601
3,207570208000.0,0.61709518,0.0773838292,0.550239653,0.051023741,0.720900594,0.0585362593
4,210012210000.0,0.474781136,0.0853652323,0.551311457,0.054239098,1.09167281,0.0624358212
5,212454212000.0,0.316626403,0.0802849745,0.64315578,0.0609255142,0.501939336,0.055767875
6,214896215000.0,1.23011412,0.0845516274,1.08149892,0.066316371,0.215802978,0.0590087452
7,217338217000.0,0.559522691,0.0627686765,0.53268345,0.0339811597,-0.107487816,0.066307589
8,219780220000.0,0.409367851,0.0675458428,0.504998535,0.0558284286,1.25385154,0.0622812682
9,222222222000.0,0.539686104,0.0336792258,0.83973035,0.0308725132,0.570966996,0.0326208499
10,224664225000.0,0.479765129,0.0455500931,0.271375287,0.0430954404,-0.38357038,0.0672037418
11,227106227000.0,0.507184243,0.0763661371,0.494129649,0.0573647582,1.19091183,0.0621418672
12,229548230000.0,0.354804758,0.0783695638,0.477454439,0.0540807361,1.1617494,0.0563852842
13,231990232000.0,1.37256682,0.0794810185,1.7115929,0.0708148746,0.93257213,0.0679268577
14,234432234000.0,0.413612308,0.0750598986,0.199946917,0.0568684687,0.153813574,0.0450073615
15,236874237000.0,0.74150854,0.0339372772,0.740963402,0.0340804958,1.48319758,0.0627345607
16,239316239000.0,0.168039645,0.0877230783,0.360175342,0.06960061,0.24629162,0.0605734803
17,241758242000.0,0.987494232,0.0591741239,1.173238,0.0421252459,0.687973041,0.0537404108
18,244200244000.0,0.307017259,0.0563466677,-0.0333565272,0.0458884802,0.0181188162,0.0574680616
19,246642247000.0,0.491363279,0.0815296955,0.484254182,0.0601937542,0.724825329,0.0700226951
20,249084249000.0,0.04087195,0.0617462881,0.244715557,0.052356233,0.934010062,0.0691135584
21,251526252000.0,1.07903607,0.0752948985,1.24427509,0.0555459862,0.665951002,0.0690036732
22,253968254000.0,0.685635573,0.0824574404,0.460693802,0.0626550287,-0.38666031,0.0543563204
23,256410256000.0,0.536068316,0.0835792382,0.563132856,0.0568427047,1.51149954,0.0448187259
24,258852259000.0,0.13661758,0.087019745,0.395301336,0.046378953,1.52306852,0.0343899606
25,261294261000.0,1.39721883,0.0929806184,1.49415942,0.065173321,0.921053556,0.0729164037
26,263736264000.0,0.511951754,0.0648718545,0.328382882,0.0571794279,0.172030051,0.0411740935
27,266178266000.0,0.471917964,0.0600059544,0.47718386,0.0567057107,1.0924572,0.0668597763
28,268620269000.0,-0.0309655905,0.0688507944,0.359755562,0.0567747619,0.979322447,0.0700617245
29,271062271000.0,1.17590987,0.0638158394,1.18363879,0.0572761335,0.372285007,0.0755883162
