,freq,alpha_0deg,alpha_err_0deg,alpha_180deg,alpha_err_180deg,alpha_90deg,alpha_err_90deg
0,200244200000.0,0.78438344,0.206855521,1.33162515,0.197841656,1.26492162,0.19746219
1,202686203000.0,1.53186686,0.204382971,1.30012787,0.22928538,1.24208241,0.226383493
2,205128205000.0,1.79238019,0.243852411,1.83957799,0.275112496,1.82987181,0.25924464
3,207570208000.0,1.43371687,0.248571904,1.73199153,0.249800881,1.67181799,0.243590698
4,210012210000.0,2.31852443,0.258884351,1.80038203,0.308978789,1.66246221,0.305819253
5,212454212000.0,0.862276868,0.303022875,1.61509466,0.277389914,1.61082092,0.269840144
6,214896215000.0,2.54161484,0.25767724,1.78064413,0.345384082,1.75620411,0.321637184
7,217338217000.0,0.871136109,0.240285238,1.47656123,0.231282077,1.44491691,0.216343926
8,219780220000.0,1.81204582,0.226750077,1.42091862,0.275590132,1.3851658,0.256355835
9,222222222000.0,1.56353129,0.21304328,1.64340069,0.230228467,1.53933137,0.222717249
10,224664225000.0,1.25066333,0.214660183,1.39427223,0.220964148,1.35928125,0.217121379
11,227106227000.0,2.05253493,0.18338548,1.69879169,0.205931029,1.62398012,0.197798232
12,229548230000.0,1.34754474,0.187865549,1.74703987,0.176697057,1.70638244,0.181240044
13,231990232000.0,2.6275681,0.262518711,2.03389913,0.289783407,2.03260489,0.287016089
14,234432234000.0,1.63046219,0.220271555,2.07052062,0.202726231,1.98390457,0.214228941
15,236874237000.0,2.0127954,0.24014255,2.01802283,0.236940187,1.95938493,0.227739228
16,239316239000.0,2.10791854,0.309974424,2.21856546,0.300445815,2.08584753,0.298401569
17,241758242000.0,1.52123011,0.244988872,1.82199755,0.211301987,1.7985072,0.214933944
18,244200244000.0,2.49599512,0.25596626,2.07283903,0.251924414,1.99565227,0.253752029
19,246642247000.0,1.31698449,0.245369915,1.73308446,0.209883832,1.73201086,0.205584357
20,249084249000.0,1.93432143,0.19281909,1.64095791,0.195235312,1.67269356,0.197118576
21,251526252000.0,1.88449466,0.220799982,2.01652551,0.191218956,1.98932536,0.202677324
22,253968254000.0,2.13578036,0.24072493,2.12089209,0.222662881,2.11643407,0.222546618
23,256410256000.0,2.29257454,0.213177725,2.15671905,0.207456262,2.11343473,0.214026454
24,258852259000.0,1.95806898,0.25071459,2.23442393,0.204957043,2.2243582,0.20351099
